epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,947.722,0.43524,1.545,1.22998,0.99547,1,0.99116,0.92696,0.3765,0.94409,0.69924,0.000663004,0.000663004,0.000663004
2,1481.28,0.17528,0.70196,0.98646,0.98717,0.99963,0.99143,0.986,0.23384,0.75711,0.53871,0.00119803,0.00119803,0.00119803
3,1943.92,0.18549,0.53984,0.98572,0.99538,1,0.99289,0.99283,0.23403,0.55132,0.54704,0.00160106,0.00160106,0.00160106
4,2901.12,0.16245,0.42748,0.96933,0.99546,1,0.9928,0.9928,0.19777,0.48536,0.48378,0.001406,0.001406,0.001406
5,3509.33,0.14641,0.33353,0.93878,0.99543,1,0.99323,0.99276,0.20142,0.39538,0.50708,0.001208,0.001208,0.001208
6,4038.18,0.11035,0.267,0.92844,0.99544,1,0.9928,0.9928,0.18841,0.35941,0.49281,0.00101,0.00101,0.00101
7,4557.35,0.09722,0.23597,0.91623,0.99546,1,0.99323,0.99323,0.18407,0.44761,0.46756,0.000812,0.000812,0.000812
8,5114.17,0.07974,0.20105,0.908,0.99547,1,0.99181,0.99181,0.1569,0.28395,0.44775,0.000614,0.000614,0.000614
9,5889.68,0.07297,0.17479,0.91168,0.99547,1,0.99181,0.99181,0.128,0.28622,0.42238,0.000416,0.000416,0.000416
10,6772.51,0.06056,0.16218,0.9016,0.99547,1,0.99207,0.99207,0.12347,0.22298,0.41077,0.000218,0.000218,0.000218
